#                                                                     --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name              accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#      ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
CAILXL010000619.1_RG179391 -          RuvC_1_Cas9          RuvC_1_Cas9      0.26    0.4   0.0      0.69   -1.0   0.0   1.4   1   0   0   1   1   1   0 RG179391
CAIVOT010000198.1_RG179391 -          RuvC_1_Cas9          RuvC_1_Cas9      0.26    0.4   0.0      0.69   -1.0   0.0   1.4   1   0   0   1   1   1   0 RG179391
RGDD01000075.1_RG1990334   -          RuvC_1_Cas9          RuvC_1_Cas9      0.55   -0.7   0.0       3.2   -3.2   0.0   1.4   1   0   0   1   1   1   0 RG1990334
LTBA01000016.1_RG2477003   -          RuvC_1_Cas9          RuvC_1_Cas9         2   -2.5   7.1      0.76   -1.1   0.1   3.3   3   0   0   3   3   3   0 RG2477003
CAIJFF010000603.1_RG179391 -          RuvC_2_Cas9          RuvC_2_Cas9      0.11    1.5   0.1      0.21    0.5   0.1   1.4   1   0   0   1   1   1   0 RG179391
CAIKUN010000204.1_RG179391 -          RuvC_2_Cas9          RuvC_2_Cas9      0.11    1.5   0.1      0.21    0.5   0.1   1.4   1   0   0   1   1   1   0 RG179391
CAILXL010000619.1_RG179391 -          RuvC_2_Cas9          RuvC_2_Cas9      0.11    1.5   0.1      0.21    0.5   0.1   1.4   1   0   0   1   1   1   0 RG179391
CAIVOT010000198.1_RG179391 -          RuvC_2_Cas9          RuvC_2_Cas9      0.11    1.5   0.1      0.21    0.5   0.1   1.4   1   0   0   1   1   1   0 RG179391
RGDI01000003.1_RG1990038   -          RuvC_2_Cas9          RuvC_2_Cas9      0.28    0.1   0.7      0.94   -1.6   0.0   1.7   2   0   0   2   2   2   0 RG1990038
RGDD01000075.1_RG1990334   -          RuvC_2_Cas9          RuvC_2_Cas9      0.43   -0.5   0.0         5   -3.9   0.0   1.5   1   0   0   1   1   1   0 RG1990334
LTBA01000016.1_RG2477003   -          RuvC_2_Cas9          RuvC_2_Cas9       1.4   -2.1   4.3       1.8   -2.5   0.3   2.4   2   0   0   2   2   2   0 RG2477003
LTBA01000016.1_RG2477003 -          RuvC_3_Cas9          RuvC_3_Cas9         7  -30.0  44.4     0.015    4.6   0.9   5.2   5   2   0   6   6   6   0 RG2477003
CAIJFF010000603.1_RG179391 -          RuvC_C2C1            RuvC_C2C1       0.97   -3.5   0.0       3.1   -5.2   0.0   1.1   1   0   0   1   1   1   0 RG179391
CAIKUN010000204.1_RG179391 -          RuvC_C2C1            RuvC_C2C1       0.97   -3.5   0.0       3.1   -5.2   0.0   1.1   1   0   0   1   1   1   0 RG179391
CAILXL010000619.1_RG179391 -          RuvC_C2C1            RuvC_C2C1       0.97   -3.5   0.0       3.1   -5.2   0.0   1.1   1   0   0   1   1   1   0 RG179391
CAIVOT010000198.1_RG179391 -          RuvC_C2C1            RuvC_C2C1       0.97   -3.5   0.0       3.1   -5.2   0.0   1.1   1   0   0   1   1   1   0 RG179391
LTBA01000016.1_RG2477003   -          RuvC_C2C1            RuvC_C2C1          7  -13.4  28.8       0.1   -0.3   6.9   2.6   1   1   0   2   2   2   0 RG2477003
RGDD01000075.1_RG1990334 -          RuvC_C2C3            RuvC_C2C3       0.14    0.0   0.3      0.26   -0.9   0.3   1.3   1   0   0   1   1   1   0 RG1990334
LTBA01000016.1_RG2477003 -          RuvC_C2C3            RuvC_C2C3          2   -3.8   2.9       3.3   -4.5   0.1   1.4   2   0   0   2   2   2   0 RG2477003
RGDI01000003.1_RG1990038   -          RuvC_Cpf1            RuvC_Cpf1      0.067    1.1   1.5      0.12    0.3   1.5   1.3   1   0   0   1   1   1   0 RG1990038
RGDD01000075.1_RG1990334   -          RuvC_Cpf1            RuvC_Cpf1       0.45   -1.6   0.1       3.9   -4.7   0.1   1.3   1   0   0   1   1   1   0 RG1990334
CAIJFF010000603.1_RG179391 -          RuvC_Cpf1            RuvC_Cpf1        2.3   -3.9   0.0         7   -6.6   0.0   1.1   1   0   0   1   1   1   0 RG179391
CAIKUN010000204.1_RG179391 -          RuvC_Cpf1            RuvC_Cpf1        2.3   -3.9   0.0         7   -6.6   0.0   1.1   1   0   0   1   1   1   0 RG179391
CAILXL010000619.1_RG179391 -          RuvC_Cpf1            RuvC_Cpf1        2.3   -3.9   0.0         7   -6.6   0.0   1.1   1   0   0   1   1   1   0 RG179391
CAIVOT010000198.1_RG179391 -          RuvC_Cpf1            RuvC_Cpf1        2.3   -3.9   0.0         7   -6.6   0.0   1.1   1   0   0   1   1   1   0 RG179391
LTBA01000016.1_RG2477003   -          RuvC_Cpf1            RuvC_Cpf1          7  -36.4  55.6       1.4   -3.2   2.6   4.0   2   1   4   6   6   6   0 RG2477003
RGDI01000003.1_RG1990038   -          Cas9a-like           Cas9a-like      0.63   -3.6   1.2       1.5   -4.9   1.2   1.1   1   0   0   1   1   1   0 RG1990038
RGDD01000075.1_RG1990334   -          Cas9a-like           Cas9a-like      0.68   -3.7   2.4      0.87   -4.1   1.8   1.1   1   1   0   1   1   1   0 RG1990334
CAIJFF010000603.1_RG179391 -          Cas9a-like           Cas9a-like       1.8   -5.2   0.0       4.8   -6.6   0.0   1.0   1   0   0   1   1   1   0 RG179391
CAIKUN010000204.1_RG179391 -          Cas9a-like           Cas9a-like       1.8   -5.2   0.0       4.8   -6.6   0.0   1.0   1   0   0   1   1   1   0 RG179391
CAILXL010000619.1_RG179391 -          Cas9a-like           Cas9a-like       1.8   -5.2   0.0       4.8   -6.6   0.0   1.0   1   0   0   1   1   1   0 RG179391
CAIVOT010000198.1_RG179391 -          Cas9a-like           Cas9a-like       1.8   -5.2   0.0       4.8   -6.6   0.0   1.0   1   0   0   1   1   1   0 RG179391
LTBA01000016.1_RG2477003   -          Cas9a-like           Cas9a-like         7  -56.7 125.6         7   -8.2  15.4   4.1   2   2   1   3   3   3   0 RG2477003
RGDI01000003.1_RG1990038 -          Cas9b-like           Cas9b-like      0.12   -1.5   0.2       0.2   -2.3   0.2   1.1   1   0   0   1   1   1   0 RG1990038
LTBA01000016.1_RG2477003 -          Cas9b-like           Cas9b-like         7  -41.1  57.5         7  -10.4  14.3   3.0   1   1   1   2   2   2   0 RG2477003
CAIJFF010000603.1_RG179391 -          Cas9c-like           Cas9c-like    0.0007    6.5   0.1   0.00098    6.0   0.1   1.1   1   0   0   1   1   1   1 RG179391
CAIKUN010000204.1_RG179391 -          Cas9c-like           Cas9c-like    0.0007    6.5   0.1   0.00098    6.0   0.1   1.1   1   0   0   1   1   1   1 RG179391
CAILXL010000619.1_RG179391 -          Cas9c-like           Cas9c-like    0.0007    6.5   0.1   0.00098    6.0   0.1   1.1   1   0   0   1   1   1   1 RG179391
CAIVOT010000198.1_RG179391 -          Cas9c-like           Cas9c-like    0.0007    6.5   0.1   0.00098    6.0   0.1   1.1   1   0   0   1   1   1   1 RG179391
LTBA01000016.1_RG2477003   -          Cas9c-like           Cas9c-like         7  -38.6  66.4      0.26   -2.0   0.3   2.9   2   1   1   3   3   3   0 RG2477003
RGDI01000003.1_RG1990038 -          Cpf1                 Cpf1          0.0034    4.4   2.1    0.0068    3.4   2.1   1.5   1   0   0   1   1   1   1 RG1990038
RGDD01000075.1_RG1990334 -          Cpf1                 Cpf1           0.023    1.7   1.2     0.038    1.0   0.5   1.6   2   0   0   2   2   2   0 RG1990334
LTBA01000016.1_RG2477003 -          Cpf1                 Cpf1               7  -51.8  75.0         7  -29.2  36.8   3.5   1   1   1   2   2   2   0 RG2477003
RGDD01000075.1_RG1990334   -          C2c1                 C2C1            0.64   -3.5   0.0       2.7   -5.6   0.0   1.1   1   0   0   1   1   1   0 RG1990334
CAIJFF010000603.1_RG179391 -          C2c1                 C2C1             1.1   -4.3   0.0       4.5   -6.3   0.0   1.0   1   0   0   1   1   1   0 RG179391
CAIKUN010000204.1_RG179391 -          C2c1                 C2C1             1.1   -4.3   0.0       4.5   -6.3   0.0   1.0   1   0   0   1   1   1   0 RG179391
CAILXL010000619.1_RG179391 -          C2c1                 C2C1             1.1   -4.3   0.0       4.5   -6.3   0.0   1.0   1   0   0   1   1   1   0 RG179391
CAIVOT010000198.1_RG179391 -          C2c1                 C2C1             1.1   -4.3   0.0       4.5   -6.3   0.0   1.0   1   0   0   1   1   1   0 RG179391
LTBA01000016.1_RG2477003   -          C2c1                 C2C1               7  -18.3  27.7      0.26   -2.2   0.1   2.4   1   1   2   3   3   3   0 RG2477003
RGDI01000003.1_RG1990038 -          C2c2                 C2C2            0.67   -3.3   3.9      0.13   -0.9   0.5   1.3   2   0   0   2   2   2   0 RG1990038
RGDD01000075.1_RG1990334 -          C2c2                 C2C2             1.2   -4.2   1.8       2.1   -5.0   0.0   1.1   2   0   0   2   2   2   0 RG1990334
LTBA01000016.1_RG2477003 -          C2c2                 C2C2               7  -66.9 129.5      0.22   -1.7   0.8   3.8   2   1   1   4   4   4   0 RG2477003
LTBA01000016.1_RG2477003 -          C2c3                 C2C3               7  -30.1  41.1         7  -11.9  12.8   1.9   1   1   0   2   2   2   0 RG2477003
RGDI01000003.1_RG1990038 -          csa3                 COG0640         0.53    0.0   0.3       2.4   -2.1   0.1   1.6   2   0   0   2   2   2   0 RG1990038
LTBA01000016.1_RG2477003 -          csa3                 COG0640         0.55   -0.1   1.5       4.2   -2.9   0.3   2.1   2   1   0   2   2   2   0 RG2477003
RGDD01000075.1_RG1990334   -          DinG                 COG1199         0.52   -2.4   0.1       2.5   -4.6   0.1   1.2   1   0   0   1   1   1   0 RG1990334
CAIJFF010000603.1_RG179391 -          DinG                 COG1199         0.69   -2.8   0.0       2.1   -4.4   0.0   1.1   1   0   0   1   1   1   0 RG179391
CAIKUN010000204.1_RG179391 -          DinG                 COG1199         0.69   -2.8   0.0       2.1   -4.4   0.0   1.1   1   0   0   1   1   1   0 RG179391
CAILXL010000619.1_RG179391 -          DinG                 COG1199         0.69   -2.8   0.0       2.1   -4.4   0.0   1.1   1   0   0   1   1   1   0 RG179391
CAIVOT010000198.1_RG179391 -          DinG                 COG1199         0.69   -2.8   0.0       2.1   -4.4   0.0   1.1   1   0   0   1   1   1   0 RG179391
LTBA01000016.1_RG2477003   -          DinG                 COG1199            7  -23.2  33.4       1.1   -3.5   7.6   2.5   1   1   1   2   2   2   0 RG2477003
LTBA01000016.1_RG2477003 -          cas3                 COG1203            7  -42.6  54.1         7   -8.0   9.1   3.4   1   1   2   3   3   3   0 RG2477003
RGDD01000075.1_RG1990334 -          csm5gr7              COG1332         0.59   -1.7   0.0       3.9   -4.3   0.0   1.3   1   0   0   1   1   1   0 RG1990334
LTBA01000016.1_RG2477003 -          csm5gr7              COG1332            7  -40.3  63.7      0.62   -1.7   2.4   5.2   1   1   1   4   4   4   0 RG2477003
RGDD01000075.1_RG1990334   -          cmr4gr7              COG1336         0.39   -1.0   0.1       2.4   -3.6   0.0   1.4   2   0   0   2   2   2   0 RG1990334
CAIJFF010000603.1_RG179391 -          cmr4gr7              COG1336          1.9   -3.2   0.1         7   -6.4   0.1   1.1   1   0   0   1   1   1   0 RG179391
CAIKUN010000204.1_RG179391 -          cmr4gr7              COG1336          1.9   -3.2   0.1         7   -6.4   0.1   1.1   1   0   0   1   1   1   0 RG179391
CAILXL010000619.1_RG179391 -          cmr4gr7              COG1336          1.9   -3.2   0.1         7   -6.4   0.1   1.1   1   0   0   1   1   1   0 RG179391
CAIVOT010000198.1_RG179391 -          cmr4gr7              COG1336          1.9   -3.2   0.1         7   -6.4   0.1   1.1   1   0   0   1   1   1   0 RG179391
LTBA01000016.1_RG2477003   -          cmr4gr7              COG1336            7  -23.2  32.5       0.2   -0.0   0.9   3.4   1   1   2   3   3   3   0 RG2477003
LTBA01000016.1_RG2477003 -          csm3gr7              COG1337        0.035    2.5   0.5      0.15    0.4   0.5   2.0   1   0   0   1   1   1   0 RG2477003
RGDD01000075.1_RG1990334 -          csm3gr7              COG1337         0.82   -2.0   0.0         7   -5.1   0.0   1.2   1   0   0   1   1   1   0 RG1990334
RGDI01000003.1_RG1990038   -          cas2                 COG1343         0.63   -0.6   0.1         7   -4.9   0.1   1.5   1   0   0   1   1   1   0 RG1990038
CAIJFF010000603.1_RG179391 -          cas2                 COG1343          1.2   -1.6   0.0         7   -4.2   0.0   1.3   1   0   0   1   1   1   0 RG179391
CAIKUN010000204.1_RG179391 -          cas2                 COG1343          1.2   -1.6   0.0         7   -4.2   0.0   1.3   1   0   0   1   1   1   0 RG179391
CAILXL010000619.1_RG179391 -          cas2                 COG1343          1.2   -1.6   0.0         7   -4.2   0.0   1.3   1   0   0   1   1   1   0 RG179391
CAIVOT010000198.1_RG179391 -          cas2                 COG1343          1.2   -1.6   0.0         7   -4.2   0.0   1.3   1   0   0   1   1   1   0 RG179391
LTBA01000016.1_RG2477003   -          cas2                 COG1343            7   -6.0  12.6      0.33    0.3   0.2   3.8   3   0   0   3   3   3   0 RG2477003
LTBA01000016.1_RG2477003 -          cas10                COG1353            7  -27.4  46.3      0.23   -1.6   0.3   3.3   1   1   1   3   3   3   0 RG2477003
RGDI01000003.1_RG1990038 -          cmr1gr7              COG1367         0.83   -2.4   0.1         6   -5.2   0.1   1.2   1   0   0   1   1   1   0 RG1990038
LTBA01000016.1_RG2477003 -          cmr1gr7              COG1367            7  -16.7  20.7         7  -15.5  16.8   2.4   1   1   0   1   1   1   0 RG2477003
RGDD01000075.1_RG1990334 -          csm2gr11             COG1421         0.44   -0.3   0.0         7   -4.3   0.0   1.6   1   0   0   1   1   1   0 RG1990334
RGDI01000003.1_RG1990038 -          csm2gr11             COG1421          0.5   -0.5   0.1       2.6   -2.8   0.1   1.5   1   0   0   1   1   1   0 RG1990038
LTBA01000016.1_RG2477003 -          csm2gr11             COG1421            7  -36.0  59.5       1.3   -1.9   4.0   5.6   3   1   3   6   6   6   0 RG2477003
RGDI01000003.1_RG1990038 -          cas4                 COG1468         0.32   -0.2   1.4      0.56   -1.0   0.1   1.7   2   0   0   2   2   2   0 RG1990038
LTBA01000016.1_RG2477003 -          cas4                 COG1468            7  -11.5  20.0      0.35   -0.3   0.1   4.1   3   1   0   3   3   3   0 RG2477003
RGDI01000003.1_RG1990038 -          csm6                 COG1517         0.56   -1.9   0.6       2.7   -4.2   0.1   1.3   2   0   0   2   2   2   0 RG1990038
RGDD01000075.1_RG1990334 -          csm6                 COG1517         0.66   -2.2   0.0         7   -5.6   0.0   1.2   1   0   0   1   1   1   0 RG1990334
LTBA01000016.1_RG2477003 -          csm6                 COG1517            7  -52.0  64.5         7  -17.4  20.4   4.2   1   1   3   4   4   4   0 RG2477003
RGDI01000003.1_RG1990038 -          cas1                 COG1518         0.52   -2.0   0.1       2.9   -4.4   0.1   1.2   1   0   0   1   1   1   0 RG1990038
LTBA01000016.1_RG2477003 -          cas1                 COG1518            7  -20.8  25.7      0.55   -2.1   0.9   2.9   3   1   0   3   3   3   0 RG2477003
RGDD01000075.1_RG1990334   -          csm4gr5              COG1567        0.017    3.0   0.1     0.032    2.1   0.1   1.4   1   0   0   1   1   1   0 RG1990334
RGDI01000003.1_RG1990038   -          csm4gr5              COG1567         0.51   -1.9   0.0       2.1   -3.9   0.0   1.2   1   0   0   1   1   1   0 RG1990038
CAIJFF010000603.1_RG179391 -          csm4gr5              COG1567         0.95   -2.8   0.0         3   -4.4   0.0   1.1   1   0   0   1   1   1   0 RG179391
CAIKUN010000204.1_RG179391 -          csm4gr5              COG1567         0.95   -2.8   0.0         3   -4.4   0.0   1.1   1   0   0   1   1   1   0 RG179391
CAILXL010000619.1_RG179391 -          csm4gr5              COG1567         0.95   -2.8   0.0         3   -4.4   0.0   1.1   1   0   0   1   1   1   0 RG179391
CAIVOT010000198.1_RG179391 -          csm4gr5              COG1567         0.95   -2.8   0.0         3   -4.4   0.0   1.1   1   0   0   1   1   1   0 RG179391
LTBA01000016.1_RG2477003   -          csm4gr5              COG1567            7  -57.6  79.1      0.11    0.3   0.6   5.7   4   1   2   7   7   7   0 RG2477003
RGDD01000075.1_RG1990334   -          cas6                 COG1583         0.56   -1.3   0.0       4.2   -4.2   0.0   1.3   1   0   0   1   1   1   0 RG1990334
CAIJFF010000603.1_RG179391 -          cas6                 COG1583         0.78   -1.8   0.0       2.5   -3.5   0.0   1.2   1   0   0   1   1   1   0 RG179391
CAIKUN010000204.1_RG179391 -          cas6                 COG1583         0.78   -1.8   0.0       2.5   -3.5   0.0   1.2   1   0   0   1   1   1   0 RG179391
CAILXL010000619.1_RG179391 -          cas6                 COG1583         0.78   -1.8   0.0       2.5   -3.5   0.0   1.2   1   0   0   1   1   1   0 RG179391
CAIVOT010000198.1_RG179391 -          cas6                 COG1583         0.78   -1.8   0.0       2.5   -3.5   0.0   1.2   1   0   0   1   1   1   0 RG179391
LTBA01000016.1_RG2477003   -          cas6                 COG1583            7  -46.5  57.8      0.97   -2.1   1.9   5.1   4   2   1   5   5   5   0 RG2477003
RGDI01000003.1_RG1990038   -          cmr6gr7              COG1604         0.28   -0.5   0.9       1.1   -2.4   0.1   1.6   1   1   1   2   2   2   0 RG1990038
RGDD01000075.1_RG1990334   -          cmr6gr7              COG1604         0.93   -2.2   0.2         7   -5.1   0.2   1.2   1   0   0   1   1   1   0 RG1990334
CAIJFF010000603.1_RG179391 -          cmr6gr7              COG1604         0.96   -2.2   0.0       4.3   -4.3   0.0   1.2   1   0   0   1   1   1   0 RG179391
CAIKUN010000204.1_RG179391 -          cmr6gr7              COG1604         0.96   -2.2   0.0       4.3   -4.3   0.0   1.2   1   0   0   1   1   1   0 RG179391
CAILXL010000619.1_RG179391 -          cmr6gr7              COG1604         0.96   -2.2   0.0       4.3   -4.3   0.0   1.2   1   0   0   1   1   1   0 RG179391
CAIVOT010000198.1_RG179391 -          cmr6gr7              COG1604         0.96   -2.2   0.0       4.3   -4.3   0.0   1.2   1   0   0   1   1   1   0 RG179391
LTBA01000016.1_RG2477003   -          cmr6gr7              COG1604            7  -55.1  81.4       2.1   -3.3   0.6   6.1   4   1   3   7   7   7   0 RG2477003
LTBA01000016.1_RG2477003 -          cas5                 COG1688            7  -19.2  24.2       0.9   -2.1   0.7   3.4   4   1   1   5   5   5   0 RG2477003
RGDD01000075.1_RG1990334 -          cmr3gr5              COG1769         0.26   -1.3   0.0      0.81   -2.9   0.0   1.3   1   0   0   1   1   1   0 RG1990334
LTBA01000016.1_RG2477003 -          cmr3gr5              COG1769         0.39   -1.9   8.1     0.085    0.3   0.2   2.7   2   0   0   2   2   2   0 RG2477003
RGDI01000003.1_RG1990038 -          cas7                 COG1857         0.08    0.8   0.2      0.15   -0.0   0.2   1.3   1   0   0   1   1   1   0 RG1990038
RGDD01000075.1_RG1990334 -          cas7                 COG1857         0.37   -1.3   0.1         2   -3.7   0.1   1.3   1   0   0   1   1   1   0 RG1990334
LTBA01000016.1_RG2477003 -          cas7                 COG1857            7  -19.1  26.5      0.35   -1.3   0.8   3.3   3   1   0   4   4   4   0 RG2477003
RGDI01000003.1_RG1990038 -          cas3HD               COG2254          0.5   -1.5   0.0       2.9   -4.0   0.0   1.3   1   0   0   1   1   1   0 RG1990038
LTBA01000016.1_RG2477003 -          cas3HD               COG2254            7  -25.8  38.8      0.74   -2.0   0.7   4.6   3   2   1   4   4   4   0 RG2477003
CAIJFF010000603.1_RG179391 -          WYL                  COG2378         0.51   -1.6   0.1       1.6   -3.2   0.1   1.2   1   0   0   1   1   1   0 RG179391
CAIKUN010000204.1_RG179391 -          WYL                  COG2378         0.51   -1.6   0.1       1.6   -3.2   0.1   1.2   1   0   0   1   1   1   0 RG179391
CAILXL010000619.1_RG179391 -          WYL                  COG2378         0.51   -1.6   0.1       1.6   -3.2   0.1   1.2   1   0   0   1   1   1   0 RG179391
CAIVOT010000198.1_RG179391 -          WYL                  COG2378         0.51   -1.6   0.1       1.6   -3.2   0.1   1.2   1   0   0   1   1   1   0 RG179391
RGDD01000075.1_RG1990334   -          WYL                  COG2378          1.1   -2.8   0.0         7   -5.7   0.0   1.1   1   0   0   1   1   1   0 RG1990334
RGDI01000003.1_RG1990038 -          cmr5gr11             COG3337         0.31   -0.1   0.0       2.1   -2.7   0.0   1.6   1   0   0   1   1   1   0 RG1990038
LTBA01000016.1_RG2477003 -          cmr5gr11             COG3337            1   -1.8   3.9         7   -5.2   3.9   2.3   1   1   0   1   1   1   0 RG2477003
LTBA01000016.1_RG2477003 -          cas2                 COG3512            4   -3.3   5.0         7   -4.4   2.2   2.2   1   1   0   1   1   1   0 RG2477003
RGDI01000003.1_RG1990038   -          cas9                 COG3513         0.65   -3.4   0.4       1.7   -4.7   0.4   1.1   1   0   0   1   1   1   0 RG1990038
CAIJFF010000603.1_RG179391 -          cas9                 COG3513          1.7   -4.8   0.0         7   -7.1   0.0   1.0   1   0   0   1   1   1   0 RG179391
CAIKUN010000204.1_RG179391 -          cas9                 COG3513          1.7   -4.8   0.0         7   -7.1   0.0   1.0   1   0   0   1   1   1   0 RG179391
CAILXL010000619.1_RG179391 -          cas9                 COG3513          1.7   -4.8   0.0         7   -7.1   0.0   1.0   1   0   0   1   1   1   0 RG179391
CAIVOT010000198.1_RG179391 -          cas9                 COG3513          1.7   -4.8   0.0         7   -7.1   0.0   1.0   1   0   0   1   1   1   0 RG179391
LTBA01000016.1_RG2477003   -          cas9                 COG3513            7  -62.8  85.2         7  -23.3  30.0   2.6   1   1   1   2   2   2   0 RG2477003
LTBA01000016.1_RG2477003 -          cas7                 COG3649            7  -18.6  21.7       1.4   -3.2   2.7   2.4   3   0   0   3   3   3   0 RG2477003
RGDD01000075.1_RG1990334 -          csm6                 COG4006         0.32   -1.3   0.1       2.2   -4.1   0.0   1.3   2   0   0   2   2   2   0 RG1990334
LTBA01000016.1_RG2477003 -          csm6                 COG4006         0.33   -1.4   0.5       2.7   -4.4   0.5   1.4   1   0   0   1   1   1   0 RG2477003
RGDI01000003.1_RG1990038 -          csm6                 COG4006         0.74   -2.5   0.1       5.1   -5.3   0.1   1.2   1   0   0   1   1   1   0 RG1990038
LTBA01000016.1_RG2477003   -          cas4                 COG4343        0.031    2.4   0.0      0.28   -0.7   0.0   2.1   2   0   0   2   2   2   0 RG2477003
RGDI01000003.1_RG1990038   -          cas4                 COG4343         0.11    0.6   0.0       0.3   -0.8   0.0   1.4   1   0   0   1   1   1   0 RG1990038
RGDD01000075.1_RG1990334   -          cas4                 COG4343         0.22   -0.3   0.1      0.47   -1.4   0.1   1.3   1   0   0   1   1   1   0 RG1990334
CAIJFF010000603.1_RG179391 -          cas4                 COG4343          1.2   -2.8   0.0         7   -5.7   0.0   1.1   1   0   0   1   1   1   0 RG179391
CAIKUN010000204.1_RG179391 -          cas4                 COG4343          1.2   -2.8   0.0         7   -5.7   0.0   1.1   1   0   0   1   1   1   0 RG179391
CAILXL010000619.1_RG179391 -          cas4                 COG4343          1.2   -2.8   0.0         7   -5.7   0.0   1.1   1   0   0   1   1   1   0 RG179391
CAIVOT010000198.1_RG179391 -          cas4                 COG4343          1.2   -2.8   0.0         7   -5.7   0.0   1.1   1   0   0   1   1   1   0 RG179391
RGDD01000075.1_RG1990334 -          PD-DExK              COG4804         0.36   -0.6   0.3       1.8   -2.8   0.3   1.5   1   0   0   1   1   1   0 RG1990334
LTBA01000016.1_RG2477003 -          PD-DExK              COG4804            7  -13.2  22.7      0.45   -0.9   0.4   3.6   2   1   1   3   3   3   0 RG2477003
RGDI01000003.1_RG1990038   -          PrimPol              COG4951         0.59   -2.0   0.2       1.8   -3.5   0.2   1.2   1   0   0   1   1   1   0 RG1990038
CAIJFF010000603.1_RG179391 -          PrimPol              COG4951         0.91   -2.6   0.2       5.7   -5.2   0.2   1.2   1   0   0   1   1   1   0 RG179391
CAIKUN010000204.1_RG179391 -          PrimPol              COG4951         0.91   -2.6   0.2       5.7   -5.2   0.2   1.2   1   0   0   1   1   1   0 RG179391
CAILXL010000619.1_RG179391 -          PrimPol              COG4951         0.91   -2.6   0.2       5.7   -5.2   0.2   1.2   1   0   0   1   1   1   0 RG179391
